Country,Cases,Deaths,Recovered,Active_Cases,Critical)Cases
India,45034136,533547,0,44500589,0
USA,111765841,1218840,109701168,845833,1080
China,503302,5272,379053,118977,0
Russia,24082671,402612,23500207,179852,0
Brazil,38694221,710966,36249161,1734094,0
France,40138560,167642,39970918,0,0
Germany,38827040,182917,38240600,403523,0
UK,24910387,232112,24676614,1661,0
Italy,26722745,196466,26357303,168976,25
Spain,13914811,121760,13762417,30634,231
Argentina,10094643,130733,9963910,0,0
Australia,11845265,24358,11811795,9112,9
Japan,33803572,74694,0,33728878,0
S. Korea,34571873,35934,34535939,0,0
Mexico,7702809,334958,6899865,467986,0
Netherlands,8635591,22992,8612069,530,0
Switzerland,4452755,14452,4437932,371,0
Sweden,2753953,27390,2726303,260,0
Norway,1509732,6638,1503094,0,0
Ghana,171889,1462,170425,2,0
